DistVDC	No.
Baitadi-BUMIRAJ	52.0
Baitadi-CHAUKHAM	41.0
Baitadi-DASHARATHCHANDA MUNICIPALITY	2,397.0
Baitadi-DEHIMANDAU	52.0
Baitadi-DEULEK	28.0
Baitadi-DHIKARIM/ RIM	67.0
Baitadi-DHIKASINTAD/ SITAD	45.0
Baitadi-DHUNGAD	49.0
Baitadi-DILASAINI	82.0
Baitadi-DURGABHABANI	46.0
Baitadi-DURGASTHAN	47.0
Baitadi-GAJARI	47.0
Baitadi-GIREGADA	36.0
Baitadi-GOKULESWOR	54.0
Baitadi-GUJAR	53.0
Baitadi-GURUKHOLA	69.0
Baitadi-GWALLEK	47.0
Baitadi-HAT	28.0
Baitadi-HATRAJ	10.0
Baitadi-KAIPAL	43.0
Baitadi-KATAUJPANI	62.0
Baitadi-KOTILA	42.0
Baitadi-KOTPETARA	88.0
Baitadi-KULAU	46.0
Baitadi-KUWAKOT	64.0
Baitadi-MAHADEVSTHAN	43.0
Baitadi-MAHAKALI	35.0
Baitadi-MAHARUDRA	47.0
Baitadi-MALLADEHI	49.0
Baitadi-MATHAIRAJ	31.0
Baitadi-MAUNALI	43.0
Baitadi-MELAULI	51.0
Baitadi-NAGARJUN	42.0
Baitadi-NWADEU	52.0
Baitadi-NWALI	64.0
Baitadi-PANCHESWOR	44.0
Baitadi-PATAN	67.0
Baitadi-RAUDIDEWAL	73.0
Baitadi-RAULESWOR	60.0
Baitadi-RUDRESWOR	53.0
Baitadi-SAKAR	26.0
Baitadi-SALENA	37.0
Baitadi-SARMALI	76.0
Baitadi-SHANKARPUR	46.0
Baitadi-SHIBANATH	51.0
Baitadi-SHIKHARPUR	59.0
Baitadi-SHIVALING	54.0
Baitadi-SIDDHAPUR	28.0
Baitadi-SIDDHESWOR	68.0
Baitadi-SIKASH	61.0
Baitadi-SILANGA	42.0
Baitadi-SREEKEDAR	39.0
Baitadi-SREEKOT	71.0
Baitadi-TALLADEHI	45.0
Baitadi-THALAKANDA	24.0
Baitadi-UDAYADEB	31.0
Bajhang-BANJH	60.0
Bajhang-BHAIRABANATH	67.0
Bajhang-BHAMCHAUR	54.0
Bajhang-BHATEKHOLA	50.0
Bajhang-BYASI	67.0
Bajhang-CHAINPUR	84.0
Bajhang-CHAUDHARI	48.0
Bajhang-DAHABAGAR	89.0
Bajhang-DANGAJI	61.0
Bajhang-DANTOLA	34.0
Bajhang-DAULICHAUR	53.0
Bajhang-DEULEKH	28.0
Bajhang-DEULIKOT	76.0
Bajhang-DHAMENA	31.0
Bajhang-GADARAYA	31.0
Bajhang-HEMANTABADA	43.0
Bajhang-KADEL	48.0
Bajhang-KAILASH	12.0
Bajhang-KALUKHETI	34.0
Bajhang-KANDA	20.0
Bajhang-KAPHALASERI	74.0
Bajhang-KHIRATADI	117.0
Bajhang-KOIRALAKOT	40.0
Bajhang-KOTBHAIRAB	52.0
Bajhang-KOTDEWAL	40.0
Bajhang-LAMATOLA	37.0
Bajhang-LEKHGAU	49.0
Bajhang-LUYANTA	38.0
Bajhang-MAJHIGAU	46.0
Bajhang-MALUMELA	29.0
Bajhang-MASHDEV	39.0
Bajhang-MATELA	33.0
Bajhang-MAULALI	47.0
Bajhang-MELBISAUNI	52.0
Bajhang-PARAKATNE	74.0
Bajhang-PATADEWAL	34.0
Bajhang-PAUWAGADHI	25.0
Bajhang-PIPALKOT	44.0
Bajhang-RAYAL	106.0
Bajhang-RILU	49.0
Bajhang-RITHAPATA	38.0
Bajhang-SAINPASELA	66.0
Bajhang-SUBEDA	55.0
Bajhang-SUNIKOT	27.0
Bajhang-SUNKUDA	93.0
Bajhang-SURMA	37.0
Bajhang-SYANDI	51.0
Bajura-ATICHAUR	71.0
Bajura-BADDHU	81.0
Bajura-BAI	61.0
Bajura-BARHABISE	121.0
Bajura-BICHHAIYAN	33.0
Bajura-BRAMHATOLA	99.0
Bajura-BUDHIGANGA	57.0
Bajura-CHHATARA	54.0
Bajura-DAHAKOT	66.0
Bajura-DOGADI	63.0
Bajura-GOTREE	53.0
Bajura-GUDUKHATI	73.0
Bajura-JAGANNATH	4.0
Bajura-JAYABAGESWORI	38.0
Bajura-JUGADA	88.0
Bajura-KAILASHMANDAU	118.0
Bajura-KANDA	65.0
Bajura-KOLTI	95.0
Bajura-KOTILA	53.0
Bajura-KULDEUMADAU	84.0
Bajura-MANAKOT	43.0
Bajura-MARTADI	78.0
Bajura-PANDUSAIN	63.0
Bajura-RUGIN	42.0
Bajura-TOLIDEWAL	64.0
Banke-BAGESWARI	211.0
Banke-BANAKATAWA	257.0
Banke-BANAKATTI	63.0
Banke-BASUDEVAPUR	78.0
Banke-BEJAPUR	103.0
Banke-BELAHARI	54.0
Banke-BELBHAR	62.0
Banke-BETAHANI	84.0
Banke-BHAWANIYAPUR	44.0
Banke-BINAUNA	75.0
Banke-CHISAPANI	59.0
Banke-GANAPUR	75.0
Banke-GANGAPUR	93.0
Banke-HIRMINIYA	108.0
Banke-HOLIYA	92.0
Banke-INDARPUR	96.0
Banke-JAISPUR	75.0
Banke-KALAPHANTA	46.0
Banke-KAMDI	110.0
Banke-KANCHANAPUR	94.0
Banke-KATHKUIYA	83.0
Banke-KHAJURAKHURDA	70.0
Banke-KHASKARKADO	111.0
Banke-KHASKUSMA	74.0
Banke-KOHALPUR	194.0
Banke-LAXMANPUR	67.0
Banke-MAHADEVPURI	102.0
Banke-MANIKAPUR	116.0
Banke-MATAHIYA	113.0
Banke-NARAINAPUR	63.0
Banke-NAUBASTA	201.0
Banke-NEPALGUNJ MUNICIPALITY	6,066.0
Banke-PARASPUR	55.0
Banke-PHATEPUR	87.0
Banke-PIPARHAWA	58.0
Banke-PURAINA	60.0
Banke-PURAINI	67.0
Banke-RADHAPUR	57.0
Banke-RAJHENA	183.0
Banke-RANIYAPUR	64.0
Banke-SAIGAUN	65.0
Banke-SAMSERGANJ	105.0
Banke-SITAPUR	114.0
Banke-SONAPUR	90.0
Banke-TITIHIRIYA	98.0
Banke-UDARAPUR	135.0
Banke-UDAYAPUR	45.0
Bara-AMARPATTI	53.0
Bara-AMLEKHGANJ	83.0
Bara-AMRITGANG	100.0
Bara-AVAB	85.0
Bara-BABUAIN	42.0
Bara-BACHHANPURWA	56.0
Bara-BADAKI FULBARIYA	53.0
Bara-BAGAHI	69.0
Bara-BAHUARI	56.0
Bara-BALIRAMPUR	63.0
Bara-BANDHUWAN	53.0
Bara-BANJARIYA	63.0
Bara-BARAINIYA	71.0
Bara-BARIYARPUR	91.0
Bara-BASANTPUR	80.0
Bara-BATARA	41.0
Bara-BELDARI	29.0
Bara-BENAULI	48.0
Bara-BHAGWANPUR	43.0
Bara-BHALUYEEARWALIYA	61.0
Bara-BHARATGANJSIGAUL	65.0
Bara-BHATAUDA	51.0
Bara-BHODAHA	58.0
Bara-BISHRAMPUR	56.0
Bara-BISHUNPUR	31.0
Bara-BISHUNPURWA	62.0
Bara-BUNIYAD	36.0
Bara-CHHATA PIPRA	85.0
Bara-CHHATAWA	53.0
Bara-DAHIYAR	88.0
Bara-DEWAPUR	41.0
Bara-DHARMANAGAR	56.0
Bara-DOHARI	29.0
Bara-DUMARWANA	235.0
Bara-FATTEPUR	99.0
Bara-GADHAHAL	34.0
Bara-GANJBHAWANIPUR	74.0
Bara-GOLAGANJ	40.0
Bara-HARAIYA	108.0
Bara-HARDIYA	39.0
Bara-HARIHARPUR	51.0
Bara-INARWAMAL	85.0
Bara-INARWASIRA	108.0
Bara-ITIYAHI	47.0
Bara-JHITAKAIYA (NORTH)	76.0
Bara-JHITAKAIYA (SOUTH)	82.0
Bara-JITPUR BHAWANIPUR	219.0
Bara-KABAHIGOTH	55.0
Bara-KABAHIJABDI	58.0
Bara-KACHORWA	124.0
Bara-KAKADI	54.0
Bara-KALAIYA MUNICIPALITY	3,148.0
Bara-KARAIYA	72.0
Bara-KHOPAWA	27.0
Bara-KHUTWAJABDI	44.0
Bara-KOLHABI	83.0
Bara-KUDAWA	25.0
Bara-LAXMIPUR KOTWALI	37.0
Bara-LIPANIMAL	77.0
Bara-MADHURIJABDI	38.0
Bara-MAHENDRAADARSHA	81.0
Bara-MAHESHPUR	88.0
Bara-MAJHARIYA	50.0
Bara-MANAHARWA	90.0
Bara-MATIARWA	52.0
Bara-MOTISAR	43.0
Bara-NARAHI	59.0
Bara-NIJGADH	216.0
Bara-PAKADIYACHIKANI	38.0
Bara-PAPARPATIJABDI	24.0
Bara-PATERWA	43.0
Bara-PATHARHATI	37.0
Bara-PATHERA	50.0
Bara-PHETA	67.0
Bara-PIPARA BIRTA	45.0
Bara-PIPARA SIMARA	238.0
Bara-PIPARPATI PARCHROUWA	46.0
Bara-PIPRA BASANTAPUR	52.0
Bara-PIPRADHIGOTH	35.0
Bara-PRASAUNI	108.0
Bara-PRASONA	60.0
Bara-PRASTOKA	78.0
Bara-PRASURMPUR	60.0
Bara-PURAINIYA	58.0
Bara-RAGHUNATHPUR	43.0
Bara-RAMPURTOKANI	42.0
Bara-RAMPURWA	66.0
Bara-RATANPURI	126.0
Bara-RAUWAHI	34.0
Bara-SAPAHI	158.0
Bara-SHREENAGAR BAIRIYA	43.0
Bara-SIHORWA	37.0
Bara-SINHASANI	73.0
Bara-SISAHANIYA	24.0
Bara-TEDHAKATTI	54.0
Bara-TELKUWA	59.0
Bara-TETARIYA	47.0
Bara-UCHIDIHA	41.0
Bara-UMARJAN	87.0
Bardiya-BADALPUR	85.0
Bardiya-BAGANAHA	136.0
Bardiya-BANIYABHAR	147.0
Bardiya-BELAWA	154.0
Bardiya-BHIMAPUR	124.0
Bardiya-DAULATPUR	89.0
Bardiya-DEUDAKALA	199.0
Bardiya-DHADHAWAR	210.0
Bardiya-DHODHARI	123.0
Bardiya-GOLA	78.0
Bardiya-GULARIYA MUNICIPALITY	5,311.0
Bardiya-JAMUNI	193.0
Bardiya-KALIKA	159.0
Bardiya-KHAIRI CHANDANPUR	83.0
Bardiya-MAGARAGADI	220.0
Bardiya-MAHAMADPUR	117.0
Bardiya-MANAU	98.0
Bardiya-MANPUR MAINAPOKHAR	109.0
Bardiya-MANPUR TAPARA	118.0
Bardiya-MOTIPUR	245.0
Bardiya-NAYAGAUN	51.0
Bardiya-NEULAPUR	175.0
Bardiya-PADANAHA	111.0
Bardiya-PASUPATINAGAR	46.0
Bardiya-PATABHAR	171.0
Bardiya-RAJAPUR	164.0
Bardiya-SANASHREE	242.0
Bardiya-SIVAPUR	79.0
Bardiya-SORHAWA	130.0
Bardiya-SURYAPATAWA	104.0
Bardiya-TARATAL	132.0
Bardiya-THAKUDWARA	105.0
Bhaktapur-BAGESWORI	92.0
Bhaktapur-BALKOT	122.0
Bhaktapur-BHAKTAPUR MUNICIPALITY	6,694.0
Bhaktapur-CHANGUNARAYAN	92.0
Bhaktapur-CHHALING	110.0
Bhaktapur-CHITAPOL	46.0
Bhaktapur-DADHIKOT	114.0
Bhaktapur-DUWAKOT	82.0
Bhaktapur-GUNDU	80.0
Bhaktapur-JHAUKHEL	114.0
Bhaktapur-KAUTUNJE	112.0
Bhaktapur-MADHYAPUR THIMI MUNICIPALITY	5,527.0
Bhaktapur-NAGARKOT	69.0
Bhaktapur-NANKHEL	52.0
Bhaktapur-SIPADOL	111.0
Bhaktapur-SIRUTAR	57.0
Bhaktapur-SUDAL	116.0
Bhaktapur-TATHALI	57.0
Bhojpur-AAMTEP	56.0
Bhojpur-ANNAPURNA	38.0
Bhojpur-BAIKUNTHA	54.0
Bhojpur-BASIKHOLA	84.0
Bhojpur-BASINGTHARPUR	4.0
Bhojpur-BASTEEM	43.0
Bhojpur-BHAISIPANKHA	58.0
Bhojpur-BHOJPUR	138.0
Bhojpur-BHUBAL(YOON)	37.0
Bhojpur-BHULKE	51.0
Bhojpur-BOKHIM	49.0
Bhojpur-BOYA	71.0
Bhojpur-CHAMPE	59.0
Bhojpur-CHANGRE	54.0
Bhojpur-CHARAMBI	51.0
Bhojpur-CHAUKIDADA	36.0
Bhojpur-CHHINAMAKHU	72.0
Bhojpur-DALGAUN	61.0
Bhojpur-DEURALI	101.0
Bhojpur-DEWANTAR	66.0
Bhojpur-DHOTLEKHANI	47.0
Bhojpur-DOBHANE	81.0
Bhojpur-DUMMANA	62.0
Bhojpur-GOGANE	40.0
Bhojpur-GUPTESHWOR	29.0
Bhojpur-HASANPUR	47.0
Bhojpur-HELAUCHHA	77.0
Bhojpur-HOMTANG	113.0
Bhojpur-JARAYOTAR	61.0
Bhojpur-KEEMALUNG	24.0
Bhojpur-KEUREPANI	73.0
Bhojpur-KHAIRANG	62.0
Bhojpur-KHARTIMCHHA	39.0
Bhojpur-KHATAMMA	38.0
Bhojpur-KHAWA	41.0
Bhojpur-KOTA	70.0
Bhojpur-KUDAKKAULE	54.0
Bhojpur-KULUNGA	63.0
Bhojpur-LEKHARKA	9.0
Bhojpur-MANE BHANJYANG	43.0
Bhojpur-MULPANI	80.0
Bhojpur-NAGI	24.0
Bhojpur-NEPALEDADA	63.0
Bhojpur-OKHRE	37.0
Bhojpur-PANGCHA	47.0
Bhojpur-PATLEPANI	69.0
Bhojpur-PAWALA	27.0
Bhojpur-PYAULI	51.0
Bhojpur-RANIBAS	125.0
Bhojpur-SANGPANG	63.0
Bhojpur-SANODUMMA	41.0
Bhojpur-SHYAMSILA	37.0
Bhojpur-SIDDHESWOR	55.0
Bhojpur-SINDRANG	32.0
Bhojpur-TAKSAR	71.0
Bhojpur-THIDINGKHA	27.0
Bhojpur-THULODUMMA	46.0
Bhojpur-TIMMA	53.0
Bhojpur-TIWARI BHANGYAN	56.0
Bhojpur-TUNGGECHHA	49.0
Bhojpur-WALANGKHA	24.0
Bhojpur-YAKU	47.0
Bhojpur-YANGPANG	24.0
Chitawan-AYODHYAPURI	218.0
Chitawan-BACHHYAULI	131.0
Chitawan-BAGAUDA	205.0
Chitawan-BHANDARA	102.0
Chitawan-BHARATPUR MUNICIPALITY	6,620.0
Chitawan-BIRENDRANAGAR	212.0
Chitawan-CHAINPUR	134.0
Chitawan-CHANDIBHANJYANG	66.0
Chitawan-DAHAKHANI	45.0
Chitawan-DARECHOK	56.0
Chitawan-DIBYANAGAR	131.0
Chitawan-FULBARI	43.0
Chitawan-GARDI	167.0
Chitawan-GITANAGAR	199.0
Chitawan-GUNJANAGAR	213.0
Chitawan-JAGATPUR	142.0
Chitawan-JUTPANI	228.0
Chitawan-KABILAS	76.0
Chitawan-KATHAR	146.0
Chitawan-KAULE	65.0
Chitawan-KHAIRAHANI	133.0
Chitawan-KORAK	77.0
Chitawan-KUMROJ	53.0
Chitawan-LOTHAR	54.0
Chitawan-MADIKALYANPUR	146.0
Chitawan-MANGALPUR	214.0
Chitawan-MEGHAULI	198.0
Chitawan-PADAMPUR	186.0
Chitawan-PARBATIPUR	104.0
Chitawan-PATIHANI	178.0
Chitawan-PIPLE	95.0
Chitawan-PITHUWA	207.0
Chitawan-RATNANAGAR MUNICIPALITY	1,276.0
Chitawan-SARADANAGAR	171.0
Chitawan-SHAKTIKHOR	105.0
Chitawan-SIBANAGAR	115.0
Chitawan-SIDDI	42.0
Chitawan-SUKRANAGAR	109.0
Dadeldhura-AJAYAMERU	84.0
Dadeldhura-ALITAL	141.0
Dadeldhura-AMARGADHI MUNICIPALITY	1,579.0
Dadeldhura-ASHIGRAM	58.0
Dadeldhura-BAGARKOT	63.0
Dadeldhura-BELAPUR	121.0
Dadeldhura-BHADRAPUR	40.0
Dadeldhura-BHAGESWOR	63.0
Dadeldhura-CHIPUR	45.0
Dadeldhura-DEWALDIBYAPUR	88.0
Dadeldhura-GANESHPUR	79.0
Dadeldhura-GANKHET	64.0
Dadeldhura-JOGBUDA	196.0
Dadeldhura-KAILAPALAMANDAU	90.0
Dadeldhura-KOTELI	66.0
Dadeldhura-MANILEK	73.0
Dadeldhura-MASHTAMANDAU	59.0
Dadeldhura-NAWADURGA	51.0
Dadeldhura-RUPAL	87.0
Dadeldhura-SAMEJEE	42.0
Dadeldhura-SIRSHA	155.0
Dailekh-AWALPARAJUL	72.0
Dailekh-BADABHAIRAB	45.0
Dailekh-BADAKHOLA	45.0
Dailekh-BADALAMJI	93.0
Dailekh-BALUWATAR	52.0
Dailekh-BANSI	62.0
Dailekh-BARAHA	53.0
Dailekh-BELPATA	45.0
Dailekh-BHAWANI	31.0
Dailekh-BINDHYABASINI	48.0
Dailekh-BISALLA	97.0
Dailekh-CHAMUNDA	147.0
Dailekh-CHAURATHA	45.0
Dailekh-DADAPARAJUL	74.0
Dailekh-DULLU	49.0
Dailekh-GAMAUDI	48.0
Dailekh-GAURI	51.0
Dailekh-GOGANPANI	61.0
Dailekh-JAGANATH	49.0
Dailekh-JAMBUKANDH	86.0
Dailekh-KALBHAIRAB	63.0
Dailekh-KALIKA	37.0
Dailekh-KASIKANDH	59.0
Dailekh-KATTI	55.0
Dailekh-KHADKAWADA	74.0
Dailekh-KHARIGERA	69.0
Dailekh-KUSAPANI	80.0
Dailekh-LAKANDRA	82.0
Dailekh-LAKURI	61.0
Dailekh-LALIKANDA	47.0
Dailekh-LYATIBINDRASENI	97.0
Dailekh-MAIRIKALIKATHUM	75.0
Dailekh-MALIKA	84.0
Dailekh-MOHELTOLEE	34.0
Dailekh-NARAYAN MUNICIPALITY	2,143.0
Dailekh-NAULEKATUWAL	60.0
Dailekh-NEPA	92.0
Dailekh-NOMULE	30.0
Dailekh-ODHARI	39.0
Dailekh-PADUKASTHAN	67.0
Dailekh-PAGNATH	34.0
Dailekh-PILADI	34.0
Dailekh-PIPALKOT	37.0
Dailekh-PUSAKOTCHIUDI	80.0
Dailekh-RAKAMKARNALI	41.0
Dailekh-RANIBAN	47.0
Dailekh-RAWATKOT	74.0
Dailekh-ROOM	34.0
Dailekh-SALLERI	33.0
Dailekh-SANTALLA	40.0
Dailekh-SERI	32.0
Dailekh-SIGAUDI	76.0
Dailekh-SINHASAIN	99.0
Dailekh-TILEPATA	68.0
Dailekh-TOLI	53.0
Dailekh-TOLIJAISI	99.0
Dang-BAGHMARE	105.0
Dang-BELA	118.0
Dang-BIJAURI	224.0
Dang-CHAULAHI	167.0
Dang-DHANAURI	135.0
Dang-DHARNA	121.0
Dang-DHIKPUR	168.0
Dang-DURUWA	197.0
Dang-GADHAWA	123.0
