DistVDC	No.
Dhading-KIRANCHOK	82.0
Dhading-KUMPUR	169.0
Dhading-LAPA	75.0
Dhading-MAHADEVSTHAN	83.0
Dhading-MAIDI	174.0
Dhading-MARPAK	68.0
Dhading-MULPANI	77.0
Dhading-MURALI BHANJYANG	102.0
Dhading-NALANG	149.0
Dhading-NAUBISE	223.0
Dhading-NILKANTHA	271.0
Dhading-PHULKHARK	79.0
Dhading-PIDA	114.0
Dhading-REEGAUN	83.0
Dhading-SALANG	70.0
Dhading-SALYANKOT	93.0
Dhading-SALYANTAR	134.0
Dhading-SANGKOSH	112.0
Dhading-SATYADEVI	64.0
Dhading-SEMJONG	72.0
Dhading-SERTUNG	83.0
Dhading-SUNAULA BAZAR	130.0
Dhading-TASARPU	91.0
Dhading-THAKRE	113.0
Dhading-TIPLING	39.0
Dhading-TRIPURESWOR	59.0
Dhankuta-AHALE	70.0
Dhankuta-ANKHISALLA	100.0
Dhankuta-ARKHAULEJITPUR	92.0
Dhankuta-BASANTATAR	43.0
Dhankuta-BELHARA	90.0
Dhankuta-BHIRGAUN	84.0
Dhankuta-BODHE	68.0
Dhankuta-BUDHABARE	44.0
Dhankuta-BUDIMORANG	70.0
Dhankuta-CHANUWA	71.0
Dhankuta-CHHINTANG	99.0
Dhankuta-CHUNGWANG	78.0
Dhankuta-DANDABAZAR	59.0
Dhankuta-DANDAGAUN	30.0
Dhankuta-DHANKUTA MUNICIPALITY	3,566.0
Dhankuta-FAKSIB	34.0
Dhankuta-FALATE	58.0
Dhankuta-GHORLIKHARKA	52.0
Dhankuta-HATHIKHARKA	100.0
Dhankuta-KHOKU	65.0
Dhankuta-KHUWAFOK	51.0
Dhankuta-KURULE	65.0
Dhankuta-LEGUWA	85.0
Dhankuta-MAHABHARAT	70.0
Dhankuta-MAREKKATAHARE	131.0
Dhankuta-MOUNABUDHUK	40.0
Dhankuta-MUDEBAS	44.0
Dhankuta-MUGA	48.0
Dhankuta-MURTIDHUNGA	66.0
Dhankuta-PAKHRIBAS	79.0
Dhankuta-PAREWADIN	123.0
Dhankuta-RAJARANI	59.0
Dhankuta-SANNE	85.0
Dhankuta-TANKHUWA	88.0
Dhankuta-TELIA	46.0
Dhankuta-VEDETAR	52.0
Dhanusa-ANDUPATTI	38.0
Dhanusa-AURAHI	75.0
Dhanusa-BAFAI	46.0
Dhanusa-BAGCHAURA	83.0
Dhanusa-BAHEDABALA	93.0
Dhanusa-BAHUARBA	65.0
Dhanusa-BALABAKHAR	119.0
Dhanusa-BALAHAKATHAL	54.0
Dhanusa-BALAHASADHARA	54.0
Dhanusa-BALLAGOTH	62.0
Dhanusa-BANINIYA	49.0
Dhanusa-BARAMAJHIYA	82.0
Dhanusa-BASAHIYA	84.0
Dhanusa-BASBITTI	44.0
Dhanusa-BATESWOR	87.0
Dhanusa-BEGADAWAR	187.0
Dhanusa-BEGASHIVAPUR	106.0
Dhanusa-BHARATPUR	186.0
Dhanusa-BHUCHAKRAPUR	57.0
Dhanusa-BHUTAHIPATERWA	80.0
Dhanusa-BINDHI	56.0
Dhanusa-BISARBHORA	69.0
Dhanusa-CHAKKAR	87.0
Dhanusa-CHORAKOILPUR	56.0
Dhanusa-D.GOVINDAPUR	130.0
Dhanusa-DEBADIHA	72.0
Dhanusa-DEURIPARBAHA	72.0
Dhanusa-DEVPURARUPETHA	107.0
Dhanusa-DHABOULI	61.0
Dhanusa-DHALKEBAR	155.0
Dhanusa-DHANAUJI	108.0
Dhanusa-DHANUSADHAM	91.0
Dhanusa-DIGAMBARPUR	132.0
Dhanusa-DUBARIKOTHATHALEKHA	102.0
Dhanusa-DUHABI	107.0
Dhanusa-EKARAHI	68.0
Dhanusa-FULGAMA	123.0
Dhanusa-GHODGHANS	74.0
Dhanusa-GODAR	103.0
Dhanusa-GOPALPUR	73.0
Dhanusa-GOTHKOHELPUR	56.0
Dhanusa-HANSAPUR KATHPULA	62.0
Dhanusa-HARIHARPUR	94.0
Dhanusa-HARINE	65.0
Dhanusa-HATHIPUR HARBARA	75.0
Dhanusa-INARWA	36.0
Dhanusa-ITAHARWA	63.0
Dhanusa-JANAKPUR MUNICIPALITY	7,089.0
Dhanusa-JHATIYAHI	67.0
Dhanusa-JHOJHIKATAIYA	66.0
Dhanusa-KACHURITHERA	77.0
Dhanusa-KAJARARAMAUL	57.0
Dhanusa-KANAKPATTI	74.0
Dhanusa-KHAJURI CHANHA	109.0
Dhanusa-KHARIYANI	147.0
Dhanusa-KURTHA	79.0
Dhanusa-LABATOLI	64.0
Dhanusa-LAGMAGADHA GUTHI	48.0
Dhanusa-LAKHOURI	50.0
Dhanusa-LAKKAD	53.0
Dhanusa-LAXMINIWAS	43.0
Dhanusa-LAXMIPUR BAGEWA	108.0
Dhanusa-LOHANA	79.0
Dhanusa-MAHUWA (PRA.KHE)	53.0
Dhanusa-MAHUWA (PRA.KO)	71.0
Dhanusa-MAKHANAHA	95.0
Dhanusa-MANSHING PATTI	65.0
Dhanusa-MARCHAI JHITAKAIYA	146.0
Dhanusa-MITHILESWOR MAUWAHI	66.0
Dhanusa-MITHILESWOR NIKAS	81.0
Dhanusa-MUKHIYAPATTI MUSHARGIYA	57.0
Dhanusa-NAGARAEEN	82.0
Dhanusa-NAKATAJHIJH	97.0
Dhanusa-NANUPATTI	70.0
Dhanusa-NAUWAKHOR PRASHAHI	45.0
Dhanusa-PACHAHARWA	57.0
Dhanusa-PATANUKA	34.0
Dhanusa-PATERWA	67.0
Dhanusa-PAUDESWOR	92.0
Dhanusa-PUSPALPUR	50.0
Dhanusa-RAGHUNATHPUR	183.0
Dhanusa-RAMAIDAIYABHAWADI	96.0
Dhanusa-SABELA	88.0
Dhanusa-SAKHUWA MAHENDRANAGAR	215.0
Dhanusa-SAPAHI	80.0
Dhanusa-SATOSAR	73.0
Dhanusa-SHANTIPUR	81.0
Dhanusa-SIDDHA	78.0
Dhanusa-SINGYAHI MAIDAN	116.0
Dhanusa-SINURJODA	114.0
Dhanusa-SONIGAMA	84.0
Dhanusa-SUGAMADHUKARAHI	45.0
Dhanusa-SUGANIKASH	66.0
Dhanusa-TARAPATTI SIRSIYA	131.0
Dhanusa-THADIJHIJHA	78.0
Dhanusa-THILLAYADUWA	52.0
Dhanusa-TULSICHAUDA	80.0
Dhanusa-TULSIYAHI NIKAS	79.0
Dhanusa-TULSIYANIJABDI	51.0
Dhanusa-UMAPREMPUR	160.0
Dhanusa-YADUKUSH	86.0
Dhanusa-YAGYABHUMI	208.0
Dolakha-ALAMPU	45.0
Dolakha-BABARE	63.0
Dolakha-BHEDAPU	65.0
Dolakha-BHIMESWOR MUNICIPALITY	3,214.0
Dolakha-BHIRKOT	45.0
Dolakha-BIGU	29.0
Dolakha-BOCHA	75.0
Dolakha-BULUNG	41.0
Dolakha-CHANKHU	36.0
Dolakha-CHHETRAPA	52.0
Dolakha-CHILANKHA	55.0
Dolakha-CHYAMA	45.0
Dolakha-DANDAKHARKA	57.0
Dolakha-DUDHPOKHARI	27.0
Dolakha-GAIRIMUDI	88.0
Dolakha-GAURISANKAR	28.0
Dolakha-GHANGSUKATHOKAR	86.0
Dolakha-HAWA	31.0
Dolakha-JAPHE	66.0
Dolakha-JHULE	48.0
Dolakha-JHYAKU	84.0
Dolakha-JIRI	170.0
Dolakha-JUGU	61.0
Dolakha-KABHRE	91.0
Dolakha-KALINGCHOK	34.0
Dolakha-KHARE	32.0
Dolakha-KHOPACHAGU	41.0
Dolakha-LADUK	49.0
Dolakha-LAKURIDADA	55.0
Dolakha-LAMABAGAR	41.0
Dolakha-LAMIDADA	83.0
Dolakha-LAPILANG	99.0
Dolakha-MALI	52.0
Dolakha-MALU	51.0
Dolakha-MARBU	26.0
Dolakha-MELUNG	69.0
Dolakha-MIRGE	55.0
Dolakha-NAMDU	115.0
Dolakha-ORANG	42.0
Dolakha-PAWATI	8.0
Dolakha-SAHARE	39.0
Dolakha-SAILUNGESWOR	34.0
Dolakha-SUNAKHANI	90.0
Dolakha-SUNDRAWATI	59.0
Dolakha-SURI	66.0
Dolakha-SUSMACHHEMAWATI	71.0
Dolakha-SYAMA	36.0
Dolakha-THULOPATAL	57.0
Dolpa-BHIJER	69.0
Dolpa-CHHARKA	75.0
Dolpa-DHO	132.0
Dolpa-DUNAI	278.0
Dolpa-JUFAL	261.0
Dolpa-KAIGAUN	80.0
Dolpa-LAWAN	254.0
Dolpa-LIKHU	236.0
Dolpa-MAJHFAL	282.0
Dolpa-MUKOT	97.0
Dolpa-PAHADA	252.0
Dolpa-PHOKSUNDO	90.0
Dolpa-RAHA	102.0
Dolpa-SAHARTARA	260.0
Dolpa-SALDANG	363.0
Dolpa-TINJE	197.0
Dolpa-TRIPURAKOT	135.0
Doti-BANJAKAKANI	78.0
Doti-BANLEK	85.0
Doti-BARCHHEN	63.0
Doti-BASUDEVI	53.0
Doti-BHUMIRAJMADAU	75.0
Doti-CHAWARACHAUTARA	44.0
Doti-CHHAPALI	44.0
Doti-CHHATIWAN	43.0
Doti-DAHA KALIKASTHAN	40.0
Doti-DAUD	66.0
Doti-DHANGLAGAU	47.0
Doti-DHIRKAMANDAU	32.0
Doti-DIPAYAL SILGADHI MUNICIPALITY	2,709.0
Doti-DURGAMADAU	64.0
Doti-GADASERA	50.0
Doti-GAGUDA	52.0
Doti-GAIHRAGAU	50.0
Doti-GANJARI	38.0
Doti-GHANTESWOR	32.0
Doti-GIRICHAUKA	52.0
Doti-JIJODAMANDAU	24.0
Doti-KADAMADAUN	65.0
Doti-KALENA	50.0
Doti-KALIKASTHAN	77.0
Doti-KANACHAUR	29.0
Doti-KAPALLEKI	49.0
Doti-KEDARAKHADA	31.0
Doti-KHATIWADA	82.0
Doti-KHIRSAIN	49.0
Doti-LADAGADA	69.0
Doti-LAMIKHAL	84.0
Doti-LANAKEDARESWOR	37.0
Doti-LATAMANDAU	79.0
Doti-LAXMINAGAR	60.0
Doti-MAHADEVSTHAN	62.0
Doti-MANNAKAPADI	38.0
Doti-MUDABHARA	49.0
Doti-MUDHEGAU	31.0
Doti-NIRAULI	49.0
Doti-PACHANALI	44.0
Doti-POKHARI	74.0
Doti-RANAGAU	44.0
Doti-SANAGAU	32.0
Doti-SARASWOTINAGAR	43.0
Doti-SATPHARI	42.0
Doti-SIMCHAUR	40.0
Doti-TIJALI	28.0
Doti-TIKHATAR	106.0
Doti-TOLENI	70.0
Doti-WAGALEK	59.0
Doti-WARPATA	45.0
Gorkha-AANPPIPAL	116.0
Gorkha-AARUARBANG	69.0
Gorkha-AARUCHANUATE	52.0
Gorkha-AARUPOKHARI	81.0
Gorkha-ASRANG	82.0
Gorkha-BAGUWA	43.0
Gorkha-BAKRANG	67.0
Gorkha-BHIRKOT	120.0
Gorkha-BHUMLICHOK	18.0
Gorkha-BIHI	20.0
Gorkha-BORLANG	100.0
Gorkha-BUNKOT	138.0
Gorkha-CHHAIKAMPAR	30.0
Gorkha-CHHOPRAK	98.0
Gorkha-CHUMCHET	24.0
Gorkha-CHYNGLI	127.0
Gorkha-DARBHUNG	62.0
Gorkha-DEURALI	110.0
Gorkha-DHAWA	80.0
Gorkha-DHUWAKOT	96.0
Gorkha-FINAM	47.0
Gorkha-FUJEL	97.0
Gorkha-GAIKHUR	98.0
Gorkha-GAKHU	39.0
Gorkha-GHAIRUNG	67.0
Gorkha-GHYACHOK	21.0
Gorkha-GHYALCHOK	82.0
Gorkha-GUMDA	53.0
Gorkha-HANSPUR	67.0
Gorkha-HARMHI	92.0
Gorkha-JAUBARI	58.0
Gorkha-KASHIGAUN	28.0
Gorkha-KERABARI	43.0
Gorkha-KERAUJA	62.0
Gorkha-KHARIBOT	49.0
Gorkha-KHOPLANG	118.0
Gorkha-LAPRAK	46.0
Gorkha-LAPU	44.0
Gorkha-LHO	25.0
Gorkha-MAKAISING	39.0
Gorkha-MANAKAMANA	104.0
Gorkha-MANBU	115.0
Gorkha-MASEL	80.0
Gorkha-MUCHHOK	83.0
Gorkha-NAMJUNG	62.0
Gorkha-NARESHWOR	100.0
Gorkha-PALUMTAR	150.0
Gorkha-PANCHKHUWA DEURALI	38.0
Gorkha-PANDRUNG	60.0
Gorkha-PRITHBINARAYAN MUNICIPALITY	365.0
Gorkha-PROK	29.0
Gorkha-SAMAGAUN	22.0
Gorkha-SAURPANI	84.0
Gorkha-SHREENATHKOT	58.0
Gorkha-SIMJUNG	79.0
Gorkha-SIRDIBAS	34.0
Gorkha-SWARA	70.0
Gorkha-TAKLUNG	87.0
Gorkha-TAKUKOT	92.0
Gorkha-TAKUMAJHA LAKURIBOT	62.0
Gorkha-TANDRANG	78.0
Gorkha-TANGLICHOK	67.0
Gorkha-TAPLE	101.0
Gorkha-THALAJUNG	56.0
Gorkha-THUMI	63.0
Gorkha-UHYA	51.0
Gorkha-WARPAK	86.0
Gulmi-AAGLUNG	55.0
Gulmi-AMARARBATHOK	53.0
Gulmi-AMARPUR	72.0
Gulmi-APCHAUR	75.0
Gulmi-ARBANI	63.0
Gulmi-ARJE	54.0
Gulmi-ARKHALE	107.0
Gulmi-ARKHAWANG	21.0
Gulmi-ARLANGKOT	48.0
Gulmi-ASLEWA	74.0
Gulmi-BADAGAUN	134.0
Gulmi-BAJHKETERIA	60.0
Gulmi-BALETAKSAR	100.0
Gulmi-BALITHUM	81.0
Gulmi-BAMGHA	73.0
Gulmi-BHARSE	51.0
Gulmi-BHURTUNG	68.0
Gulmi-BIRBAS	87.0
Gulmi-BISUKHARKA	44.0
Gulmi-CHHAPAHILE	58.0
Gulmi-DALAMCHAUR	60.0
Gulmi-DARBAR DEVISTHAN	125.0
Gulmi-DARLING	49.0
Gulmi-DAUNGHA	62.0
Gulmi-DHAMIR	58.0
Gulmi-DHURKOT BASTU	72.0
Gulmi-DHURKOT BHANBHANE	61.0
Gulmi-DHURKOT NAYAGAUN	91.0
Gulmi-DHURKOT RAJASTHAL	61.0
Gulmi-DIGAM	110.0
Gulmi-DIRBUNG	33.0
Gulmi-DOHALI	50.0
Gulmi-DUBICHAUR	43.0
Gulmi-FOKSING	62.0
Gulmi-GAIDAKOT	58.0
Gulmi-GWADHA	56.0
Gulmi-GWADI	68.0
Gulmi-HADAHADE	70.0
Gulmi-HANSARA	62.0
Gulmi-HARDINETA	100.0
Gulmi-HAREWA	50.0
Gulmi-HARMICHAUR	49.0
Gulmi-HARRACHAUR	45.0
Gulmi-HASTICHAUR	123.0
Gulmi-HAWANGDI	31.0
Gulmi-HUNGA	66.0
Gulmi-ISMARAJASTHAL	69.0
Gulmi-JAISITHOK	38.0
Gulmi-JAYAKHANI	30.0
Gulmi-JOHANG	106.0
Gulmi-JUNIYA	60.0
Gulmi-JUVUNG	83.0
Gulmi-KHADGAKOT	66.0
Gulmi-KHARJYANG	77.0
Gulmi-KURGHA	67.0
Gulmi-LIMGHA	64.0
Gulmi-MALAGIRI	41.0
Gulmi-MARBHUNG	66.0
Gulmi-MUSIKOT	69.0
Gulmi-MYALPOKHARI	40.0
Gulmi-NETA	53.0
Gulmi-PALLIKOT	65.0
Gulmi-PARALMI	60.0
Gulmi-PAUCHHIAMARAYEE	57.0
Gulmi-PIPALDHARA	67.0
Gulmi-PURKOTDAHA	47.0
Gulmi-PURTIGHAT	37.0
Gulmi-REEMUWA	50.0
Gulmi-RUPAKOT	91.0
Gulmi-RURU	75.0
Gulmi-SHANTIPUR	68.0
Gulmi-SIMICHAUR	100.0
Gulmi-SIRSENI	63.0
Gulmi-TAMGHAS	240.0
Gulmi-THANPATI	46.0
Gulmi-THULOLUMPEK	107.0
Gulmi-TURANG	77.0
Gulmi-WAGLA	65.0
Gulmi-WAMITAKSAR	123.0
Humla-BARAIGAUN	152.0
Humla-BARGAUN	91.0
Humla-CHHIPRA	113.0
Humla-DANDAFAYA	219.0
Humla-DARMA	231.0
Humla-GOTHI	114.0
Humla-HEPKA	145.0
Humla-JAIR	219.0
Humla-KALIKA	279.0
Humla-KHAGALGAUN	143.0
Humla-KHARPUNATH	144.0
Humla-LALI	169.0
Humla-LIMI	123.0
Humla-MADANA	168.0
Humla-MAILA	374.0
Humla-MELCHHAM	79.0
Humla-MIMI	140.0
Humla-MUCHU	90.0
Humla-RAYA	221.0
Humla-RODIKOT	299.0
Humla-SARKEEDEU	244.0
Humla-SAYA (SAMA)	59.0
Humla-SHREEMASTHA	121.0
Humla-SHREENAGAR	193.0
Humla-SIMIKOT	291.0
Humla-SYADA	183.0
Humla-THEHE	306.0
Ilam-AMCHOK	97.0
Ilam-BAJHO	97.0
Ilam-BARBOTE	114.0
Ilam-CHAMETA	92.0
Ilam-CHISAPANI	90.0
Ilam-CHULACHULI	24.0
Ilam-DANABARI	93.0
Ilam-DHUSENI	86.0
Ilam-EBHANG	72.0
Ilam-EKTAPPA	65.0
Ilam-ERAUTAR	71.0
Ilam-GAJURMUKHI	68.0
Ilam-GODUK	92.0
Ilam-GORKHE	80.0
Ilam-ILAM MUNICIPALITY	2,290.0
Ilam-JAMUNA	41.0
Ilam-JIRMALE	98.0
Ilam-JITPUR	119.0
Ilam-JOGMAI	63.0
Ilam-KANYAM	129.0
Ilam-KOLBUNG	72.0
Ilam-LAXMIPUR	127.0
Ilam-LUMDE	44.0
Ilam-MABU	62.0
Ilam-MAHAMAI	104.0
Ilam-MAIMAJHUWA	71.0
Ilam-MAIPOKHARI	55.0
Ilam-MANGALBARE	110.0
Ilam-NAMSALING	118.0
Ilam-NAYABAZAR	98.0
Ilam-PANCHAKANYA	143.0
Ilam-PASUPATINAGAR	151.0
Ilam-PHAKPHOK	83.0
Ilam-PHIKALBAZAR	187.0
Ilam-PHUYATAPPA	67.0
Ilam-PUWAMAJHUWA	50.0
Ilam-PYANG	46.0
Ilam-SAKFARA	44.0
Ilam-SAKHEJUNG	66.0
Ilam-SAMALBUNG	58.0
Ilam-SANGRUMBA	102.0
Ilam-SHANTIDANDA	89.0
Ilam-SHANTIPUR	96.0
Ilam-SHREEANTU	80.0
Ilam-SIDDHITHUMKA	60.0
Ilam-SOPAK	69.0
Ilam-SOYANG	86.0
Ilam-SULUBUNG	69.0
Ilam-SUMBEK	45.0
Jajarkot-ARCHHANI	48.0
Jajarkot-BHAGAWATITOL	48.0
Jajarkot-BHOOR	69.0
Jajarkot-DAHA	68.0
Jajarkot-DANDAGAUN	81.0
Jajarkot-DASERA	108.0
Jajarkot-DHIME	97.0
Jajarkot-GARKHAKOT	67.0
Jajarkot-JAGATIPUR	61.0
Jajarkot-JHAPRA	72.0
Jajarkot-JUNGATHAPACHAUR	60.0
Jajarkot-KARKIGAUN	74.0
Jajarkot-KHAGENKOT	72.0
Jajarkot-KHALANGA	168.0
Jajarkot-KORTRANG	49.0
Jajarkot-LAHAI	86.0
Jajarkot-MAJHAKOT	117.0
Jajarkot-NAYAKWADA	78.0
Jajarkot-PAINK	61.0
Jajarkot-PAJARU	86.0
Jajarkot-PUNAMA	71.0
Jajarkot-RAGDA	62.0
Jajarkot-RAMIDANDA	28.0
Jajarkot-ROKAYAGAUN	70.0
Jajarkot-SAKALA	65.0
Jajarkot-SALMA	53.0
Jajarkot-SIMA	65.0
Jajarkot-SUWANAULI	40.0
Jajarkot-TALEGAUN	44.0
Jajarkot-THALARAIKAR	60.0
Jhapa-ANARMANI	379.0
Jhapa-ARJUNDHARA	172.0
Jhapa-BAHUNDANGI	319.0
Jhapa-BALUBARI	83.0
Jhapa-BANIYANI	27.0
Jhapa-BHADRAPUR MUNICIPALITY	2,451.0
Jhapa-BUDHABARE	251.0
Jhapa-CHAKCHAKI	169.0
Jhapa-CHANDRAGADHI	232.0
Jhapa-CHARPANE	193.0
Jhapa-DAMAK MUNICIPALITY	4,160.0
Jhapa-DANGIBARI	130.0
Jhapa-DHAIJAN	119.0
Jhapa-DHARAMPUR	22.0
Jhapa-DUWAGADHI	170.0
Jhapa-GARAMANI	203.0
Jhapa-GAURADAHA	244.0
Jhapa-GAURIGANJ	172.0
Jhapa-GHAILADUBBA	170.0
Jhapa-GHERABARI	113.0
Jhapa-GOLDHAP	104.0
Jhapa-HALDIBARI	90.0
Jhapa-JALTHAL	221.0
Jhapa-JUROPANI	176.0
Jhapa-JYAMIRGADHI	133.0
Jhapa-KECHANA	73.0
Jhapa-KHAJURGACHHI	133.0
Jhapa-KHUDUNABARI	187.0
Jhapa-KOHABARA	148.0
Jhapa-KOROBARI	76.0
Jhapa-KUMARKHOD	148.0
Jhapa-LAKHANPUR	205.0
Jhapa-MAHABHARA	150.0
Jhapa-MAHARANIJHODA	53.0
Jhapa-MAHESHPUR	190.0
Jhapa-MECHINAGAR MUNICIPALITY	6,680.0
Jhapa-PATHAMARI	49.0
Jhapa-PATHARIYA	134.0
Jhapa-PRITHIVINAGAR	175.0
Jhapa-RAJGADH	143.0
Jhapa-SANISCHARE	342.0
Jhapa-SATASIDHAM	252.0
Jhapa-SHANTINAGAR	311.0
Jhapa-SHARANAMATI	181.0
Jhapa-SHIVAGANJ	217.0
Jhapa-SURUNGA	253.0
Jhapa-TAGANDUBBA	175.0
Jhapa-TOPGACHCHI	299.0
Jumla-BADKI	57.0
Jumla-BIRAT	14.0
Jumla-BUVRAMADICHAUR	18.0
Jumla-CHANDANNATH	96.0
Jumla-CHHUMCHAUR	24.0
Jumla-DHAPA	23.0
Jumla-DILLICHAUR	64.0
Jumla-GARJYANGKOT	5.0
Jumla-GHODEMAHADEV	24.0
Jumla-GUTHICHAUR	35.0
Jumla-HAKU	41.0
Jumla-KALIKAKHETU	13.0
Jumla-KANAKASUNDARI	6.0
Jumla-KARTIKSWAMI	33.0
Jumla-KUDARI	73.0
Jumla-LABHRA	37.0
Jumla-LIHI (RARA)	29.0
Jumla-MAHABEPATTHAR KHOLA	8.0
Jumla-MAHATGAUN	61.0
Jumla-MALIKABOTA	11.0
Jumla-MALIKATHOTA	55.0
Jumla-PANDAWAGUFA	37.0
Jumla-PATARASI	50.0
Jumla-PATMARA	31.0
Jumla-TALIUM	63.0
Jumla-TAMTI	31.0
Jumla-TATOPANI	49.0
Kailali-BALIYA	438.0
Kailali-BASAUTI	69.0
Kailali-BELADEVIPUR	69.0
Kailali-BHAJANI	74.0
Kailali-BONIYA	88.0
Kailali-CHAUHA	155.0
Kailali-CHAUMALA	218.0
Kailali-DANSINHAPUR	104.0
Kailali-DARAKH	106.0
Kailali-DHANGADHI MUNICIPALITY	6,503.0
Kailali-DODODHARA	163.0
Kailali-DURGAULI	172.0
Kailali-GADARIYA	64.0
Kailali-GETA	123.0
Kailali-GODAWARI	183.0
Kailali-HASULIYA	150.0
Kailali-JANAKINAGAR	73.0
Kailali-JOSHIPUR	169.0
Kailali-KHAILAD	104.0
Kailali-KHAIRALA	45.0
Kailali-KOTATULSIPUR	75.0
Kailali-LALBOJHI	175.0
Kailali-MALAKHETI	167.0
Kailali-MASURIYA	176.0
Kailali-MOHANYAL	41.0
Kailali-MUNUWA	132.0
Kailali-NARAYANPUR	143.0
Kailali-NIGALI	77.0
Kailali-PAHALMANPUR	121.0
Kailali-PANDAUN	47.0
Kailali-PATHARIYA	218.0
Kailali-PAWERA	56.0
Kailali-PHULWARI	228.0
Kailali-PRATAPAPUR	131.0
Kailali-RAMSIKHARJHALA	127.0
Kailali-RATANPUR	61.0
Kailali-SADEPANI	141.0
Kailali-SAHAJPUR	107.0
Kailali-SREEPUR	143.0
Kailali-SUGARKHAL	172.0
Kailali-THAPAPUR	159.0
Kailali-TIKAPUR MUNICIPALITY	3,970.0
Kailali-UDASIPUR	49.0
Kailali-URMA	102.0
Kalikot-MANMA	94.0
Kalikot-MARTA	66.0
Kanchanpur-BAISIBICHAWA	126.0
Kanchanpur-BELDANDI	182.0
Kanchanpur-CHANDANI	166.0
Kanchanpur-DAIJEE	266.0
Kanchanpur-DEKHATBHULI	165.0
Kanchanpur-DODHARA	208.0
Kanchanpur-JHALARI	201.0
Kanchanpur-KALIKA	147.0
Kanchanpur-KRISHNAPUR	216.0
Kanchanpur-LAXMIPUR	106.0
Kanchanpur-MAHENDRA NAGAR MUNICIPALITY	7,643.0
Kanchanpur-PARASAN	162.0
Kanchanpur-PIPALADI	85.0
Kanchanpur-RAIKAWARBICHAWA	109.0
Kanchanpur-RAMPURBILASPUR	158.0
Kanchanpur-RAUTELIBICHAWA	109.0
Kanchanpur-SANKARPUR	43.0
Kanchanpur-SREEPUR	177.0
Kanchanpur-SUDA	147.0
Kanchanpur-TRIBHUWANBAST	210.0
Kapilbastu-ABHIRAWA	65.0
Kapilbastu-AJIGARA	54.0
Kapilbastu-BAHADURGANJ	111.0
Kapilbastu-BALARAMWAPUR	48.0
Kapilbastu-BALUHAWA	75.0
Kapilbastu-BANGANGA	151.0
Kapilbastu-BARAIPUR	40.0
Kapilbastu-BARAKULPUR	112.0
Kapilbastu-BASANTAPUR	34.0
Kapilbastu-BASKHAUR	84.0
Kapilbastu-BEDAULI	49.0
Kapilbastu-BHAGWANPUR	44.0
Kapilbastu-BHALUBARI	49.0
Kapilbastu-BIJUWA	70.0
Kapilbastu-BIRPUR	113.0
Kapilbastu-BISHUNPUR	52.0
Kapilbastu-BITHUWA	32.0
Kapilbastu-BUDHI	63.0
Kapilbastu-CHANAI	109.0
Kapilbastu-DHANKAULI	74.0
Kapilbastu-DHARMPANIYA	56.0
Kapilbastu-DOHANI	57.0
Kapilbastu-DUBIYA	46.0
Kapilbastu-DUMARA	45.0
Kapilbastu-FULIKA	74.0
Kapilbastu-GAJEHADA	174.0
Kapilbastu-GANESHPUR	66.0
Kapilbastu-GAURI	37.0
Kapilbastu-GOTIHAWA	48.0
Kapilbastu-GUGAULI	89.0
Kapilbastu-HARANAMPUR	35.0
Kapilbastu-HARDUONA	55.0
Kapilbastu-HARIHARPUR	89.0
Kapilbastu-HATHAUSA	118.0
Kapilbastu-HATHIHAWA	93.0
Kapilbastu-JAHADI	65.0
Kapilbastu-JAWABHARI	28.0
Kapilbastu-JAYANAGAR	96.0
Kapilbastu-KAJARHAWA	42.0
Kapilbastu-KAPILBASTU MUNICIPALITY	2,788.0
Kapilbastu-KHURHURIYA	123.0
Kapilbastu-KOPAWA	145.0
Kapilbastu-KRISHNANAGAR	69.0
Kapilbastu-KUSHHAWA	48.0
Kapilbastu-LABANI	76.0
Kapilbastu-LALPUR	48.0
Kapilbastu-MAHARAJGANJ	180.0
Kapilbastu-MAHENDRAKOT	97.0
Kapilbastu-MAHUWA	65.0
Kapilbastu-MALWAR	62.0
Kapilbastu-MANPUR	49.0
Kapilbastu-MILMI	50.0
Kapilbastu-MOTIPUR	180.0
Kapilbastu-NANDANAGAR	50.0
Kapilbastu-NIGALIHAWA	144.0
Kapilbastu-PAKADI	73.0
Kapilbastu-PARSOHIYA	39.0
Kapilbastu-PATARIYA	79.0
Kapilbastu-PATNA	68.0
Kapilbastu-PATTHARDAIHIYA	84.0
Kapilbastu-PIPARA	39.0
Kapilbastu-PURUSOTTAMPUR	32.0
Kapilbastu-RAJPUR	52.0
Kapilbastu-RAMNAGAR	47.0
Kapilbastu-RANGAPUR	55.0
Kapilbastu-SAURAHA	34.0
Kapilbastu-SHIPANAGAR	66.0
Kapilbastu-SHIVAGADHI	72.0
Kapilbastu-SHIVAPUR	132.0
Kapilbastu-SINGHKHOR	47.0
Kapilbastu-SIRSIHAWA	46.0
Kapilbastu-SISAWA	58.0
Kapilbastu-SOMDIHA	57.0
Kapilbastu-THUNHIYA	48.0
Kapilbastu-TILAURAKOT	82.0
Kapilbastu-TITIRKHI	44.0
Kapilbastu-UDAYAPUR	56.0
Kapilbastu-VIDHYANAGAR	52.0
Kaski-ARBAVIJAYA	52.0
Kaski-ARMALA	92.0
Kaski-BHACHOK	34.0
Kaski-BHADAURETAMAGI	71.0
Kaski-BHARATPOKHARI	146.0
